id	candidate	status	priority	destination	supporting_sources	notes
RR011	Barycentric subdivisions of Boolean cell complexes with nonnegative h-vector	missing	P1	tex-source/polytopes.tex (face h-polynomials); tex-source/realRooted.tex#posetRealRooted	Brenti--Welker, Math. Z. 259 (2008), Thm. 3.1 p. 7, DOI 10.1007/s00209-007-0251-z	Foundational theorem: h(sd Delta;t) has simple real zeros; absent from source and bibliography.
RR012	Local h-polynomials of barycentric and edgewise subdivisions	missing	P1	tex-source/polytopes.tex (new local-h subsection); tex-source/realRootedCatalan.tex	Athanasiadis, Combinatorica 45 (2025), Thms. 1.2, 1.4 pp. 2-3, DOI 10.1007/s00493-025-00162-2	Barycentric result holds for every triangulation; edgewise result needs r>=n and the paper says the bound cannot be dropped.
RR013	Large lattice width forces simple negative Ehrhart h-star roots	missing	P1	tex-source/polytopes.tex#ehrhartPolytopes	arXiv:2608.03635v1 Thms. 1.1-1.2 pp. 1-2	For fixed dimension d there is an unspecified width threshold; local h-star/box result is for simplices only.
RR014	All colored-multiset Eulerian variants are real-rooted; componentwise interlacing	partial	P1	tex-source/realRootedWords.tex (multiset Eulerian example); tex-source/polytopes.tex#ehrhartPolytopes	arXiv:2608.15682v2 Thms. 1.3-1.5 pp. 3-4	Current paragraph gives only earlier sufficient self-interlacing conditions; preserve distinction between A and sentinel ascent S variants.
RR015	Boolean--Eulerian polynomials: simple negative roots and consecutive strict interlacing	missing	P2	tex-source/realRootedWords.tex#eulerianPolynomial; cross-link tex-source/realRootedCatalan.tex#booleanNarayanaNumberDefinition	arXiv:2605.15415v1 Thm. 5.6 and Cor. 5.8 pp. 10-11	Natural labeled analogue of the already covered Boolean--Narayana family.
RR016	Tau-polynomial closure under graph joins	missing	P1	tex-source/realRootedGraphs.tex; cross-link tex-source/chromaticQuasisymmetric.tex#chromaticPolynomial	arXiv:2609.07457v1 Thms. 1.1-1.2 p. 2	Define normalization in rising-factorial expansion; preserves nonpositive roots for nonzero inputs divisible by x and settles 1994 conjecture.
RR017	Classification of connected bridgeless graphs with real-rooted flow polynomial	missing	P2	tex-source/realRootedGraphs.tex; cross-link tex-source/chromaticQuasisymmetric.tex#chromaticPolynomial	arXiv:2608.19780v2 Thm. 6 and Cor. 7 pp. 3-4	Equivalent to duals of chordal plane graphs; roots lie in {1,2,3}; planar chromatic corollary includes root 0.
RR018	Low-rank matroid Chow real-rootedness and flag/chordal nestohedral counterexamples	missing	P1	tex-source/matroids.tex#matroidChowPolynomials; tex-source/gammaPositivity.tex#galConjecture	arXiv:2604.04550v3 Cor. 1.10 p. 7; Thm. 1.12 p. 7 and Ex. 9.5/Thm. 9.6 pp. 49-50	Maximal building set is real-rooted through rank 6; arbitrary complete/flag building sets can fail even though gamma-positive.
RR019	Gal's flag-sphere counterexamples to real-rooted h-polynomials	citation-only	P2	tex-source/gammaPositivity.tex#galConjecture	Gal, Discrete Comput. Geom. 34 (2005), Sec. 3/Remark 3.1.1, DOI 10.1007/s00454-005-1171-5	Site cites Gal for the gamma conjecture and gamma-root criterion but does not state why gamma positivity was proposed as a weaker replacement for real-rootedness.
RR020	Rank-selected Cohen--Macaulay simplicial posets and finite-Coxeter noncrossing lattices have real-rooted chain polynomials	citation-only	P2	tex-source/realRooted.tex#posetRealRooted; tex-source/realRootedGraphs.tex#realRootsChow; cross-link tex-source/coxeterGroups.tex	Athanasiadis--Douvropoulos--Kalampogia-Evangelinou, EJC 31 (2024) P4.16, Thms. 1.2-1.3, DOI 10.37236/12218; arXiv:2307.04839v3	Current words page cites the paper only for a restricted Eulerian specialization; current graph page states the geometric-lattice conjecture and later subclasses.
RR021	Partition/type-B partition/subspace lattice chain polynomials and pyramid/prism closure	missing	P3	tex-source/realRooted.tex#posetRealRooted	Athanasiadis--Kalampogia-Evangelinou, Combinatorial Theory 3 (2023), Thms. 1.3-1.4, DOI 10.5070/C63160425	Useful history if a chain-polynomial paragraph is added; partly superseded editorially by RR009/RR020 and Branden--Leite coverage.
RR022	Finite Coxeter-group Eulerian polynomials are real-rooted	partial	P2	tex-source/realRootedWords.tex (type A/B/D examples); cross-link tex-source/coxeterGroups.tex	Savage--Visontai, Trans. AMS 367 (2015), Thm. 3.15 plus known exceptional cases; arXiv:1208.3831	Site has separate type A, B, D and s-Eulerian statements but not the finite-Coxeter synthesis; avoid claiming simple roots in type D at n=2.
RR023	Poincare polynomials of compactified genus-zero moduli spaces and Fulton--MacPherson spaces	missing	P2-adjacent	tex-source/varieties.tex; cross-link tex-source/matroids.tex#matroidChowPolynomials	arXiv:2605.29151v2 Thms. 1.1-1.2 pp. 2-3 and Thm. 5.1 p. 16	Adjacent rather than core: Mbar_0,n has n-3 simple negative roots for n>=4 and consecutive strict interlacing; no current moduli-space coverage.
RR024	Ehrhart h-star polynomials of (132,213)-avoiding permutation polytopes	unverified	HOLD	tex-source/polytopes.tex; tex-source/permutationPatterns.tex	arXiv:2609.06096v1 Thms. 1.3-1.4 p. 3	Do not add from v1: prose claims both verification through d=1000 and a threshold d0=272, yet calls 1001<=d<d0 an open intervening range; wait for corrected version.
RR025	Second-pattern C/D coordinator zero alternation	verified-not-recommended	HOLD	tex-source/coxeterGroups.tex	arXiv:2608.11012v1 Thm. 1 pp. 2-3	Authors explicitly distinguish this from classical interlacing; too specialized for current overview until coordinator polynomials have a home.
RR026	Rectangle-tiling independence polynomials	verified-not-recommended	P3	tex-source/realRootedGraphs.tex	arXiv:2605.03473v1 Thms. 5-6, 8, 14	Several exact families, but lower connective/editorial value than graph, rook, and polytope omissions above.
RR027	Hurwitz stability of spider independence polynomials	excluded	-	-	arXiv:2609.04694v1	Left-half-plane location is not real-rootedness; do not list as a direct real-rootedness result.
RR028	Lorentzianity of matroid/rook basis-generating polynomials	present	-	tex-source/lorentzianPolynomials.tex; tex-source/lattice-path-matroids.tex	Branden--Huh and cited follow-ups	Correctly treated as ultra-log-concavity support, not evidence of real-rootedness or multivariate stability.
RR029	Borcea--Branden stability-preserver classification and core closure operations	present	-	tex-source/stablePolynomials.tex	Borcea--Branden primary papers	Substantial theorem-level coverage already present.
RR030	Aissen--Schoenberg--Whitney/Edrei PF theory and Pólya--Schur multiplier sequences	present	-	tex-source/polyaFrequency.tex; tex-source/realRooted.tex	Classical primary sources cited locally	Foundational coverage is already substantial.
RR031	Narayana/type-B/generalized/Boolean and Dyck NNE families	present	-	tex-source/realRootedCatalan.tex	Local citations and theorem statements	No higher-priority Catalan omission found; RR002/RR015 provide new cross-links.
RR032	Straight-shape SYT descent and Schur Ehrhart real-rootedness	present	-	tex-source/realRootedTableaux.tex	Brenti; Branden	Skew SYT descent real-rootedness remains explicitly open; no verified resolution found by cutoff.
RR033	Matching and claw-free independence polynomial theorems	present	-	tex-source/realRootedGraphs.tex	Heilmann--Lieb; Chudnovsky--Seymour; weighted extensions	Foundational graph coverage is present.
RR034	Toric g individual real-rootedness and adjacent-rank interlacing	present	-	tex-source/polytopes.tex#toricGContributionPolynomial	arXiv:2609.01086v1 Thm. 1.3	Added and deployed before survey; RR001 is the genuinely new strengthening/status correction.
RR035	Guo--Kang realization of palindromic real-rooted h-polynomials	present	-	tex-source/polytopes.tex	arXiv:2609.00781v1	Added and deployed before survey.
RR036	Gamma-polynomial criterion with required nonpositive-root condition	undeployed	-	tex-source/gammaPositivity.tex#gammaPositivity	Local commit 7f3f650; Gal and Branden sources	Corrected locally 2026-09-06; do not rediscover as missing from checkout, but live publication lag remains.
RR037	Lace/Hurwitz matrix criteria and Hurwitz stability distinctions	undeployed	-	tex-source/realRootedInterlacing.tex	Local commits 0983404 and 765cdcb	Added locally 2026-09-03; do not duplicate.
RR038	Pitman--Stanley h-star real-rootedness from magic positivity	undeployed	-	tex-source/polytopes.tex#generalizedPitmanStanleyPolytope	arXiv:2603.19194v2; local commit 02b7197	Present locally after 2026-09-08 edit but not yet deployed.
RR039	Generalized-snake order-polytope h-star real-rootedness	present	-	tex-source/realRooted.tex#generalizedSnakeRealRooted; tex-source/lattice-path-matroids.tex	arXiv:2607.00922v1	Already covered with exact recurrence/interlacing.
RR040	Thagomizer and K2,n matroid KL/Z real-rootedness	present	-	tex-source/matroids.tex	arXiv:2608.02303v1	Already screened and covered.
